Time	"Time Code"	"Country Name"	"Country Code"	"Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS]"	"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]"	"Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]"	"Incidence of HIV, all (per 1,000 uninfected population) [SH.HIV.INCD.TL.P3]"	"Incidence of malaria (per 1,000 population at risk) [SH.MLR.INCD.P3]"	"Incidence of tuberculosis (per 100,000 people) [SH.TBS.INCD]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"Mortality rate, adult, female (per 1,000 female adults) [SP.DYN.AMRT.FE]"	"Mortality rate, adult, male (per 1,000 male adults) [SP.DYN.AMRT.MA]"	"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]"	"Number of infant deaths [SH.DTH.IMRT]"	"Number of maternal deaths [SH.MMR.DTHS]"	"Number of neonatal deaths [SH.DTH.NMRT]"	"Number of surgical procedures (per 100,000 population) [SH.SGR.PROC.P5]"	"People using safely managed drinking water services, rural (% of rural population) [SH.H2O.SMDW.RU.ZS]"	"People using safely managed drinking water services, urban (% of urban population) [SH.H2O.SMDW.UR.ZS]"	"People using safely managed drinking water services (% of population) [SH.H2O.SMDW.ZS]"	"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]"	"Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]"	"Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS]"	"Population ages 65 and above, total [SP.POP.65UP.TO]"	"Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS]"	"Poverty gap at $3.20 a day (2011 PPP) (%) [SI.POV.LMIC.GP]"	"Poverty gap at $5.50 a day (2011 PPP) (%) [SI.POV.UMIC.GP]"	"Pregnant women receiving prenatal care (%) [SH.STA.ANVC.ZS]"
2014	"YR2014"	"United Kingdom"	"GBR"	""	"1.81"	"2.73"	""	""	"11"	"81.3048780487805"	"53.642"	"83.909"	"3.9"	"3108"	"63"	"2182"	""	""	""	"99.986941440754"	"2.7149"	"17.5319027864905"	"64.7400678234996"	"11452714"	"0.1"	"0.2"	"0.3"	""
2014	"YR2014"	"United States"	"USA"	""	"1.8625"	"2.83"	"0.12"	""	"3.2"	"78.8414634146341"	"79.352"	"131.838"	"5.9"	"23109"	"640"	"15561"	""	""	"99.6660948659697"	"98.9857309470258"	"2.574"	"19.4162424175389"	"66.3160579782416"	"45414232"	""	""	""	""
2014	"YR2014"	"Uruguay"	"URY"	""	"2.002"	"2.42"	""	""	"29"	"77.244"	"77.032"	"136.573"	"8"	"385"	"8"	"246"	""	""	"94.4403209647612"	""	""	"21.286211532874"	"64.3303388153754"	"489100"	"0"	"0.2"	"1"	""
2014	"YR2014"	"Uzbekistan"	"UZB"	""	"2.457"	"3.98"	"0.14"	"0"	"82"	"70.671"	"107.103"	"179.144"	"21.8"	"15039"	"210"	"9734"	""	"30.8768463906388"	"85.8602564936697"	"58.8359092520125"	"2.3742"	"28.3422830209093"	"67.5838913248592"	"1253015"	""	""	""	"99.8"
2014	"YR2014"	"Vanuatu"	"VUT"	""	"3.939"	""	""	"9.19708361122901"	"63"	"69.719"	"108.011"	"159.069"	"24.4"	"199"	"7"	"106"	""	""	""	"43.1789155428576"	""	"38.7114988176802"	"57.550551749227"	"9864"	""	""	""	""
2014	"YR2014"	"Venezuela, RB"	"VEN"	""	"2.365"	"0.78"	"0.21"	"7.03798545629906"	"27"	"72.762"	"90.963"	"195.194"	"15.4"	"8827"	"650"	"6450"	""	""	""	""	""	"28.769088327092"	"65.0512026641309"	"1856702"	""	""	""	""
2014	"YR2014"	"Vietnam"	"VNM"	""	"1.996"	"2.6"	"0.12"	"0.281985625006047"	"205"	"75.056"	"67.169"	"184.799"	"17.4"	"27473"	"720"	"18261"	""	""	""	""	"0.783"	"23.0214928938539"	"70.4290501473671"	"6006808"	"0.5"	"2.9"	"11.1"	"95.8"
2014	"YR2014"	"Virgin Islands (U.S.)"	"VIR"	""	"2.09"	""	""	""	""	"78.9682926829268"	"44.011"	"76.743"	""	""	""	""	""	""	""	""	""	"20.3645565766691"	"62.9193066575337"	"18034"	""	""	""	""
2014	"YR2014"	"West Bank and Gaza"	"PSE"	""	"4.067"	""	""	""	"1.2"	"73.303"	"97.384"	"134.295"	"18.6"	"2616"	"53"	"1696"	""	""	""	""	""	"40.314349397185"	"56.7134056309399"	"124044"	""	""	""	"99.4"
2014	"YR2014"	"Yemen, Rep."	"YEM"	""	"4.214"	"0.71"	"0.04"	"29.1333771503743"	"48"	"66.066"	"200.664"	"247.241"	"43"	"35892"	"1500"	"22466"	"158"	""	""	""	"0.5251"	"41.0695690376415"	"56.1576681071513"	"716024"	"4.2"	"16.7"	"38.6"	""
2014	"YR2014"	"Zambia"	"ZMB"	""	"5.026"	""	"4.38"	"222.978906274909"	"406"	"60.831"	"264.503"	"354.596"	"47.5"	"27869"	"1400"	"14739"	""	""	"46.4761064786013"	""	""	"46.5091467492929"	"51.4266819777"	"317877"	""	""	""	"95.7"
2014	"YR2014"	"Zimbabwe"	"ZWE"	""	"3.974"	""	"4.23"	"101.893603820035"	"278"	"58.41"	"359.189"	"413.96"	"44.2"	"20871"	"2300"	"13494"	""	""	""	""	"0.124"	"42.4288534374076"	"54.6926124188886"	"391097"	""	""	""	"93.7"
	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""

