Time	"Time Code"	"Country Name"	"Country Code"	"Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS]"	"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]"	"Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]"	"Incidence of HIV, all (per 1,000 uninfected population) [SH.HIV.INCD.TL.P3]"	"Incidence of malaria (per 1,000 population at risk) [SH.MLR.INCD.P3]"	"Incidence of tuberculosis (per 100,000 people) [SH.TBS.INCD]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"Mortality rate, adult, female (per 1,000 female adults) [SP.DYN.AMRT.FE]"	"Mortality rate, adult, male (per 1,000 male adults) [SP.DYN.AMRT.MA]"	"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]"	"Number of infant deaths [SH.DTH.IMRT]"	"Number of maternal deaths [SH.MMR.DTHS]"	"Number of neonatal deaths [SH.DTH.NMRT]"	"Number of surgical procedures (per 100,000 population) [SH.SGR.PROC.P5]"	"People using safely managed drinking water services, rural (% of rural population) [SH.H2O.SMDW.RU.ZS]"	"People using safely managed drinking water services, urban (% of urban population) [SH.H2O.SMDW.UR.ZS]"	"People using safely managed drinking water services (% of population) [SH.H2O.SMDW.ZS]"	"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]"	"Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]"	"Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS]"	"Population ages 65 and above, total [SP.POP.65UP.TO]"	"Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS]"	"Poverty gap at $3.20 a day (2011 PPP) (%) [SI.POV.LMIC.GP]"	"Poverty gap at $5.50 a day (2011 PPP) (%) [SI.POV.UMIC.GP]"	"Pregnant women receiving prenatal care (%) [SH.STA.ANVC.ZS]"
2014	"YR2014"	"Cambodia"	"KHM"	""	"2.633"	""	"0.09"	"22.2595958281206"	"383"	"68.273"	"146.987"	"211.618"	"28.6"	"10451"	"700"	"6441"	""	"15.6414949960835"	"54.2582046326676"	"24.0595507107873"	"0.1927"	"31.8116602550014"	"64.1725756968983"	"613388"	""	""	""	"95.3"
2014	"YR2014"	"Cameroon"	"CMR"	""	"4.847"	""	"1.18"	"244.082174414939"	"220"	"57.083"	"328.25"	"362.98"	"59.8"	"50120"	"4800"	"24863"	""	""	""	""	""	"43.3752940456538"	"53.8695781984646"	"624914"	"8.4"	"20.1"	"36.8"	"82.8"
2014	"YR2014"	"Canada"	"CAN"	""	"1.5818"	"2.67"	""	""	"5.1"	"81.8"	"51.522"	"81.347"	"4.7"	"1799"	"41"	"1374"	""	""	""	"98.7188965251546"	"2.4961"	"16.0615434965187"	"68.3150902258466"	"5536520"	""	""	""	""
2014	"YR2014"	"Cayman Islands"	"CYM"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2014	"YR2014"	"Central African Republic"	"CAF"	""	"5.007"	""	"1.68"	"393.041171585945"	"540"	"50.129"	"410.905"	"439.302"	"92.1"	"15086"	"1600"	"7251"	""	""	""	""	""	"45.1005840944855"	"52.0115362860999"	"128920"	""	""	""	""
2014	"YR2014"	"Chad"	"TCD"	""	"6.154"	""	"0.46"	"170.274752108924"	"145"	"52.789"	"344.617"	"387.149"	"77.7"	"46011"	"7100"	"21866"	""	""	""	""	"0.0445"	"48.103218442389"	"49.4410244002188"	"335544"	""	""	""	""
2014	"YR2014"	"Channel Islands"	"CHI"	""	"1.556"	""	""	""	""	"82.252"	"43.176"	"61.383"	""	""	""	""	""	""	""	"91.975"	""	"15.5594149908592"	"68.1224862888483"	"26778"	""	""	""	""
2014	"YR2014"	"Chile"	"CHL"	""	"1.787"	"2.12"	"0.26"	""	"15"	"79.504"	"68.082"	"112.784"	"6.9"	"1698"	"35"	"1267"	""	""	"98.7104362102061"	"98.3100664136339"	"2.0278"	"20.8190074654714"	"68.8894151960146"	"1827677"	""	""	""	""
2014	"YR2014"	"China"	"CHN"	""	"1.656"	"3.55"	""	"9.51561906797794E-05"	"67"	"75.629"	"66.173"	"102.543"	"9.9"	"174536"	"5400"	"103120"	""	""	"92.5058401142857"	""	"1.6877"	"18.1343618544823"	"72.8992407406556"	"122325870"	"0.3"	"2.1"	"9.7"	"96.2"
2014	"YR2014"	"Colombia"	"COL"	""	"1.883"	"1.59"	"0.26"	"5.48401184163416"	"31"	"76.322"	"90.347"	"192.549"	"13.9"	"10311"	"630"	"6533"	""	"38.7941959289946"	"81.3318711839775"	"72.575489817128"	"1.8534"	"25.0387904912347"	"67.5305512111984"	"3490010"	"2"	"4.9"	"11.9"	""
2014	"YR2014"	"Comoros"	"COM"	""	"4.491"	""	"0.01"	"2.90101265489406"	"35"	"63.214"	"204.538"	"255.05"	"55.6"	"1407"	"75"	"858"	""	""	""	""	""	"40.345013761045"	"56.7630598243327"	"21961"	"6.8"	"16.2"	"32.2"	""
2014	"YR2014"	"Congo, Dem. Rep."	"COD"	""	"6.287"	""	"0.35"	"308.386348476621"	"325"	"58.828"	"239.841"	"288.421"	"75.7"	"236798"	"16000"	"96346"	""	""	""	""	""	"46.3886828020495"	"50.5924408635153"	"2226948"	""	""	""	"88.4"
2014	"YR2014"	"Congo, Rep."	"COG"	""	"4.634"	""	"1.55"	"231.845284902886"	"381"	"62.582"	"251.826"	"287.41"	"39.5"	"6509"	"720"	"3527"	""	"16.0718422678171"	"58.3652711170132"	"43.5985214189514"	""	"42.1466142112605"	"55.2936936982581"	"121252"	""	""	""	""
2014	"YR2014"	"Costa Rica"	"CRI"	""	"1.823"	"1.17"	"0.18"	"0"	"12"	"79.398"	"60.331"	"114.143"	"7.9"	"568"	"21"	"453"	"3746"	"83.0998099880119"	"96.3271965195512"	"93.1448175068978"	"2.6434"	"22.5132606358265"	"69.1008208706851"	"402138"	"0.6"	"1.4"	"4"	""
2014	"YR2014"	"Cote d'Ivoire"	"CIV"	""	"4.867"	""	"0.94"	"315.074149784578"	"165"	"55.508"	"383.414"	"420.689"	"67"	"54584"	"5600"	"30080"	""	"17.3923322891281"	"55.5203924112266"	"36.0804195546212"	"0.2314"	"42.8012595018546"	"54.3856272455939"	"637105"	""	""	""	""
2014	"YR2014"	"Croatia"	"HRV"	""	"1.46"	"5.91"	"0.02"	""	"13"	"77.4780487804878"	"55.884"	"129.842"	"4.2"	"171"	"3"	"128"	""	""	""	"90.9457063951209"	"3.1258"	"14.6913226892557"	"66.4022096518586"	"801330"	"0.6"	"0.9"	"2"	""
2014	"YR2014"	"Cuba"	"CUB"	""	"1.686"	"5.16"	"0.2"	""	"7.4"	"78.521"	"71.75"	"109.388"	"4.3"	"537"	"48"	"302"	""	""	""	""	"7.5673"	"16.8767595444341"	"69.4168182554659"	"1549772"	""	""	""	"98.5"
2014	"YR2014"	"Curacao"	"CUW"	""	"2"	""	""	""	"3.6"	"77.9756097560976"	"66.336"	"137.845"	""	""	""	""	""	""	""	""	""	"20.0117407935766"	"65.2289454747447"	"23011"	""	""	""	""
2014	"YR2014"	"Cyprus"	"CYP"	""	"1.364"	"3.42"	""	""	"3.9"	"80.178"	"34.788"	"70.482"	"2.3"	"30"	"1"	"21"	"3057"	""	""	"99.6426756402145"	"2.4993"	"17.0396212742507"	"70.4267607406154"	"144423"	"0.1"	"0.1"	"0.1"	""
2014	"YR2014"	"Czech Republic"	"CZE"	""	"1.53"	"6.68"	""	""	"5.1"	"78.8243902439024"	"53.382"	"114.592"	"2.5"	"279"	"4"	"175"	""	""	""	"97.8804463863185"	"3.9345"	"14.8935408835412"	"67.6155601472481"	"1840978"	"0"	"0"	"0.1"	""
2014	"YR2014"	"Denmark"	"DNK"	""	"1.69"	"2.69"	""	""	"5.9"	"80.7"	"51.817"	"86.724"	"3.5"	"206"	"3"	"191"	""	""	""	"96.7384920367741"	"3.8632"	"17.0325850306028"	"64.3969594272515"	"1048019"	"0.1"	"0.1"	"0.2"	""
2014	"YR2014"	"Djibouti"	"DJI"	""	"2.981"	"1.4"	"0.26"	"14.005323773885"	"337"	"63.171"	"230.682"	"277.258"	"55.9"	"1167"	"54"	"719"	""	""	""	""	"0.2237"	"30.948542052643"	"64.8183198971843"	"38043"	""	""	""	""
2014	"YR2014"	"Dominica"	"DMA"	""	""	""	""	""	"1.6"	""	""	""	"26.1"	"23"	""	"22"	""	""	""	""	""	""	""	""	""	""	""	""
2014	"YR2014"	"Dominican Republic"	"DOM"	""	"2.423"	"1.79"	"0.29"	"0.10108688042315"	"54"	"73.003"	"120.435"	"205.594"	"26.6"	"5528"	"200"	"4563"	""	""	""	""	""	"29.1435087789369"	"64.5009735683066"	"646050"	"0.5"	"2.3"	"8.2"	"98"
2014	"YR2014"	"Ecuador"	"ECU"	""	"2.522"	"1.55"	"0.17"	"0.520577884474733"	"40"	"75.923"	"87.269"	"164.215"	"13.4"	"4393"	"220"	"2679"	""	"56.4161225774466"	"83.9649788414214"	"73.8438026303727"	""	"29.4224553405751"	"64.1367516223834"	"1027425"	"0.8"	"2.6"	"8.2"	""
2014	"YR2014"	"Egypt, Arab Rep."	"EGY"	""	"3.441"	"1.56"	"0.02"	"0"	"15"	"71.117"	"113.113"	"189.85"	"20.6"	"52307"	"990"	"34357"	""	""	""	""	"1.138"	"33.1587780660177"	"61.7878170307886"	"4569524"	""	""	""	"90.3"
2014	"YR2014"	"El Salvador"	"SLV"	""	"2.126"	"1.35"	"0.2"	"0.00469516632626711"	"44"	"72.175"	"104.633"	"264.96"	"13.7"	"1629"	"59"	"940"	""	""	"76.796248916012"	""	""	"28.8979668086177"	"63.4935937760122"	"478961"	"0.7"	"3.4"	"11.9"	"96"
2014	"YR2014"	"Equatorial Guinea"	"GNQ"	""	"4.863"	""	"4.03"	"360.949608517714"	"162"	"57.001"	"306.397"	"348.704"	"70.3"	"2723"	"120"	"1277"	""	""	""	""	""	"37.7278515019019"	"59.6846411358337"	"29039"	""	""	""	""
2014	"YR2014"	"Eritrea"	"ERI"	""	"4.273"	""	"0.15"	"33.1242201287414"	"119"	"64.201"	"225.08"	"298.647"	"34.9"	"3810"	"580"	"2165"	""	""	""	""	""	""	""	""	""	""	""	""
2014	"YR2014"	"Estonia"	"EST"	""	"1.54"	"5.01"	""	""	"21"	"77.0341463414634"	"65.288"	"181.112"	"2.6"	"37"	"2"	"22"	"9684"	""	""	"94.2807054557785"	"3.3564"	"15.9052387909232"	"65.550412261249"	"243774"	"0.5"	"0.7"	"1.3"	""
2014	"YR2014"	"Eswatini"	"SWZ"	""	"3.097"	""	"13.29"	"2.31893700710358"	"855"	"53.569"	"368.078"	"518.222"	"52.1"	"1596"	"130"	"611"	""	""	"87.7273548142091"	""	""	"39.2594101106921"	"56.819653357613"	"42935"	""	""	""	"98.5"
2014	"YR2014"	"Ethiopia"	"ETH"	""	"4.675"	""	"0.23"	"57.1047215554175"	"207"	"64.547"	"203.767"	"255.024"	"45.1"	"148762"	"16000"	"110169"	""	"3.19681052341596"	"37.8404406627686"	"9.77840677353694"	""	"42.7359377227609"	"53.8349076778342"	"3363804"	""	""	""	"41.2"
2014	"YR2014"	"Faroe Islands"	"FRO"	""	"2.6"	""	""	""	""	"81.5926829268293"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2014	"YR2014"	"Fiji"	"FJI"	""	"2.795"	"1.85"	"0.1"	""	"55"	"67.03"	"139.364"	"236.036"	"20.3"	"389"	"7"	"186"	""	""	""	""	""	"29.55947985638"	"65.4312467035142"	"43403"	""	""	""	""
2014	"YR2014"	"Finland"	"FIN"	""	"1.71"	"4.53"	""	""	"5.3"	"81.1804878048781"	"45.191"	"99.195"	"2.1"	"119"	"2"	"80"	"8850"	""	""	"99.6293750838439"	"3.3922"	"16.4257917962959"	"63.9153141926143"	"1073673"	"0"	"0.1"	"0.1"	""
2014	"YR2014"	"France"	"FRA"	""	"2"	"6.2"	"0.1"	""	"8.5"	"82.719512195122"	"49.309"	"100.472"	"3.5"	"2671"	"65"	"1812"	""	""	""	"97.643962068027"	"3.2115"	"18.4252530043906"	"63.1388901221384"	"12225198"	"0"	"0"	"0.1"	""
2014	"YR2014"	"French Polynesia"	"PYF"	""	"2.008"	""	""	""	"24"	"76.546"	"76.942"	"131.507"	""	""	""	""	""	""	""	""	""	"23.8081743066929"	"69.1580942566386"	"19111"	""	""	""	""
2014	"YR2014"	"Gabon"	"GAB"	""	"4.083"	""	"1.26"	"285.737718580678"	"541"	"64.318"	"226.836"	"262.434"	"36.9"	"2248"	"170"	"1412"	""	""	""	""	""	"36.4471812294299"	"59.8357575114131"	"70022"	""	""	""	""
2014	"YR2014"	"Gambia, The"	"GMB"	""	"5.437"	""	"1.12"	"142.024577613947"	"175"	"60.667"	"237.157"	"291.785"	"40.8"	"3256"	"520"	"2477"	""	""	"66.4469666496179"	""	""	"44.6468502135825"	"52.6823554056685"	"54058"	""	""	""	""
2014	"YR2014"	"Georgia"	"GEO"	""	"2.034"	"2.89"	""	"0"	"106"	"72.707"	"82.585"	"235.18"	"9.7"	"556"	"17"	"418"	"5488"	""	""	"79.3936942651757"	"4.7754"	"18.6879524279541"	"67.0450679018296"	"530648"	"1.2"	"5.1"	"16.3"	""
2014	"YR2014"	"Germany"	"DEU"	""	"1.47"	"8.23"	""	""	"5.6"	"81.090243902439"	"49.597"	"91.119"	"3.3"	"2358"	"36"	"1643"	""	""	""	"99.8"	"4.0846"	"13.2520993334125"	"65.68373814054"	"17058285"	""	""	""	""
2014	"YR2014"	"Ghana"	"GHA"	""	"4.095"	""	"0.84"	"315.764965942417"	"165"	"62.416"	"228.639"	"267.537"	"40.2"	"33698"	"2800"	"22548"	""	"8.97554872284345"	"51.1710071218932"	"31.5159400151335"	""	"38.4222497162755"	"58.5948936458752"	"812067"	""	""	""	"90.5"
2014	"YR2014"	"Gibraltar"	"GIB"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"100"	"100"	""	""	""	""	""	""	""	""
2014	"YR2014"	"Greece"	"GRC"	""	"1.3"	"4.24"	""	""	"5.2"	"81.3853658536585"	"43.964"	"98.793"	"3.8"	"356"	"3"	"239"	""	""	""	"99.999995665396"	"5.2167"	"14.6756385299346"	"64.8470824904574"	"2230470"	"0.8"	"1.4"	"2.9"	""
2014	"YR2014"	"Greenland"	"GRL"	""	"2.037"	""	""	""	"177"	"71.5384146341463"	""	""	""	""	""	""	""	""	""	"96.7560561439853"	""	""	""	""	""	""	""	""
2014	"YR2014"	"Grenada"	"GRD"	""	"2.148"	"3.8"	""	""	"0"	"72.503"	"98.687"	"186.445"	"14"	"26"	"0"	"19"	""	""	""	"87.1152683516591"	""	"23.208940148023"	"67.1631374997704"	"10485"	""	""	""	""
2014	"YR2014"	"Guam"	"GUM"	""	"2.406"	""	""	""	"40"	"78.895"	"47.795"	"79.101"	""	""	""	""	""	""	""	"99.5411734842493"	""	"25.9042579619417"	"65.5667759725741"	"13733"	""	""	""	""
2014	"YR2014"	"Guatemala"	"GTM"	""	"3.088"	"0.62"	"0.09"	"0.551129420161936"	"25"	"72.935"	"115.462"	"216.369"	"24.6"	"10100"	"440"	"6018"	""	"44.9361360922004"	"64.1782988867293"	"54.4867911144437"	""	"36.8680524486354"	"58.6966744699381"	"678877"	"2.6"	"8.3"	"20.5"	""
2014	"YR2014"	"Guinea"	"GIN"	""	"5.013"	""	"0.54"	"381.09133106806"	"177"	"59.016"	"256.645"	"281.85"	"69.8"	"29202"	"3300"	"13814"	""	""	""	""	""	"45.2881638585732"	"51.810369705556"	"323542"	""	""	""	""
2014	"YR2014"	"Guinea-Bissau"	"GNB"	""	"4.783"	""	"1.58"	"93.8997289700685"	"361"	"56.556"	"248.067"	"300.216"	"61.2"	"3807"	"450"	"2496"	""	""	""	""	""	"42.7998797001011"	"54.5381600614971"	"45052"	""	""	""	"92.4"
2014	"YR2014"	"Guyana"	"GUY"	""	"2.558"	"1.72"	"0.53"	"29.2256320976301"	"89"	"69.049"	"172.354"	"249.382"	"28.1"	"444"	"28"	"332"	""	""	""	""	""	"29.8122822185543"	"64.6863947182268"	"41996"	""	""	""	"90.7"
2014	"YR2014"	"Haiti"	"HTI"	""	"3.159"	""	"0.73"	"3.4942252230391"	"200"	"62.069"	"215.642"	"277.567"	"54.3"	"14781"	"1300"	"7558"	""	""	""	""	""	"34.7625639526898"	"60.6486922136477"	"484067"	""	""	""	""
2014	"YR2014"	"Honduras"	"HND"	""	"2.635"	"0.63"	"0.13"	"0.561268572990987"	"39"	"74.278"	"121.456"	"174.294"	"17.1"	"3483"	"140"	"2232"	""	"18.0161884635741"	""	""	""	"34.4755660403799"	"61.2903070920293"	"379191"	"5.6"	"13.5"	"26.3"	""
2014	"YR2014"	"Hong Kong SAR, China"	"HKG"	""	"1.235"	""	""	""	"77"	"83.9804878048781"	"35.996"	"67.822"	""	""	""	""	""	""	"99.9693167039404"	"99.9693167039404"	""	"11.0484016780033"	"74.2849914572083"	"1060322"	""	""	""	""
2014	"YR2014"	"Hungary"	"HUN"	""	"1.44"	"6.98"	""	""	"9.4"	"75.7634146341463"	"83.854"	"179.963"	"4.5"	"409"	"11"	"262"	""	""	""	"81.1810443493946"	"3.3443"	"14.4735064009748"	"68.4188287373237"	"1687922"	"0.4"	"0.6"	"1.2"	""
2014	"YR2014"	"Iceland"	"ISL"	""	"1.93"	"3.16"	""	""	"2.8"	"82.8609756097561"	"42.085"	"68.392"	"1.8"	"8"	"0"	"5"	""	""	""	"98.3166006806901"	"3.6306"	"20.4218579767129"	"66.2617089782528"	"43596"	"0"	"0"	"0"	""
2014	"YR2014"	"India"	"IND"	""	"2.333"	"0.52"	""	"9.1994959802275"	"223"	"68.286"	"143.776"	"217"	"36.9"	"905319"	"41000"	"665584"	""	"48.9756576796704"	""	""	"0.7247"	"28.9254244902534"	"65.5959799011296"	"70980914"	""	""	""	""
2014	"YR2014"	"Indonesia"	"IDN"	""	"2.413"	"0.94"	""	"6.10177454558157"	"329"	"70.481"	"147.893"	"206.941"	"24.2"	"120213"	"9900"	"75553"	""	""	""	""	""	"27.7678502149642"	"66.9535676661474"	"13467194"	"0.9"	"8.9"	"27.1"	""
2014	"YR2014"	"Iran, Islamic Rep."	"IRN"	""	"1.993"	"1.5"	"0.06"	"0.452457234576327"	"16"	"75.502"	"63.309"	"103.671"	"14.3"	"20805"	"250"	"15186"	""	"82.7023612100805"	"94.9250303692025"	"91.6041313462114"	"1.5044"	"23.7503325662418"	"70.6073056525482"	"4370898"	"0.1"	"0.7"	"3.3"	""
2014	"YR2014"	"Iraq"	"IRQ"	""	"4.076"	"1.38"	""	"0"	"43"	"69.7"	"131.86"	"197.466"	"25.4"	"27287"	"1000"	"19401"	""	"43.0428139107489"	"63.4531840798942"	"57.2806805380757"	"1.0364"	"39.8294650599729"	"57.0687869455585"	"1067372"	""	""	""	""
2014	"YR2014"	"Ireland"	"IRL"	""	"1.89"	"2.57"	""	""	"7.4"	"81.3487804878049"	"46.131"	"78.763"	"3.3"	"226"	"4"	"169"	""	""	""	"97.0276819549896"	"3.0292"	"21.7098307183039"	"65.8827485862934"	"577905"	"0.3"	"0.4"	"0.5"	""
2014	"YR2014"	"Isle of Man"	"IMN"	""	""	""	""	""	""	""	""	""	""	""	""	""	"9770"	""	""	"97.2075649516047"	""	""	""	""	""	""	""	""
2014	"YR2014"	"Israel"	"ISR"	""	"3.08"	"3.08"	""	""	"5.3"	"82.1536585365854"	"41.017"	"72.471"	"3.2"	"536"	"6"	"357"	"4879"	"99.4277092657343"	"99.5514160839161"	"99.541645893142"	"3.4669"	"27.7748897311545"	"61.1983530367715"	"905925"	"0.2"	"0.3"	"1"	""
2014	"YR2014"	"Italy"	"ITA"	""	"1.37"	"3.21"	"0.06"	""	"6.6"	"83.090243902439"	"37.246"	"65.423"	"3"	"1567"	"9"	"1111"	""	""	""	"93.906890565105"	"3.9048"	"13.8401681718905"	"64.5244929532747"	"13151936"	"0.9"	"1.1"	"1.6"	""
2014	"YR2014"	"Jamaica"	"JAM"	""	"2.047"	""	"0.63"	""	"3.7"	"74.042"	"100.953"	"165.746"	"13.9"	"672"	"38"	"561"	""	""	""	""	"0.3798"	"24.9954176128528"	"66.5541735547394"	"242961"	""	""	""	""
2014	"YR2014"	"Japan"	"JPN"	""	"1.42"	"13.21"	""	""	"18"	"83.5878048780488"	"38.712"	"72.352"	"2.1"	"2177"	"52"	"986"	""	""	""	"98.3177108800763"	"2.3413"	"13.0814785354786"	"61.5688116965961"	"32264097"	""	""	""	""
2014	"YR2014"	"Jordan"	"JOR"	""	"3.196"	"1.89"	""	""	"5.4"	"73.969"	"93.616"	"128.498"	"15.5"	"3413"	"110"	"2353"	""	""	""	"93.8963668770817"	"2.2038"	"36.4659347618319"	"59.8232077129417"	"331010"	""	""	""	""
2014	"YR2014"	"Kazakhstan"	"KAZ"	""	"2.74"	"6.06"	"0.16"	"0"	"91"	"71.62"	"114.194"	"272.994"	"11.6"	"4515"	"49"	"2460"	""	""	""	"83.5464159727845"	"3.98"	"26.0440459433444"	"67.1999116896492"	"1168004"	"0"	"0"	"0.8"	""
2014	"YR2014"	"Kenya"	"KEN"	""	"3.879"	""	"1.51"	"83.866182364679"	"423"	"64.135"	"187.5"	"270.025"	"36.5"	"53468"	"5300"	"33919"	""	""	"52.5374585324431"	""	"0.1959"	"41.932273955566"	"56.0138783562461"	"959146"	""	""	""	"95.5"
2014	"YR2014"	"Kiribati"	"KIR"	""	"3.73"	""	""	""	"473"	"66.995"	"159.109"	"241.928"	"45.6"	"144"	"3"	"78"	""	""	""	""	""	"35.0485871781042"	"61.4081597206351"	"3876"	""	""	""	""
2014	"YR2014"	"Korea, Dem. People’s Rep."	"PRK"	""	"1.926"	""	""	"1.07669557579809"	"513"	"71.198"	"102.256"	"171.168"	"17"	"5888"	"320"	"4281"	""	"50.8015830937609"	"77.5344120337727"	"67.1348069892947"	"3.5055"	"21.233065645454"	"69.0754092838993"	"2428478"	""	""	""	""
2014	"YR2014"	"Korea, Rep."	"KOR"	""	"1.205"	"11.59"	""	"0.157231239730217"	"85"	"81.7219512195122"	"37.192"	"90.551"	"3.1"	"1336"	"52"	"710"	""	""	""	"97.9989134383191"	"2.207"	"14.1835840000259"	"73.4136485826217"	"6293990"	""	""	""	""
2014	"YR2014"	"Kosovo"	"XKX"	""	"2.13"	""	""	""	""	"71.0975609756098"	""	""	""	""	""	""	"1558"	""	""	""	""	""	""	""	"0.2"	"1.2"	"7.2"	"97.8"
2014	"YR2014"	"Kuwait"	"KWT"	""	"2.09"	"2.04"	""	""	"23"	"75.019"	"45.14"	"73.465"	"7.7"	"467"	"7"	"305"	""	""	""	"100"	"2.6522"	"21.5990447964354"	"76.3407488767769"	"76041"	""	""	""	""
2014	"YR2014"	"Kyrgyz Republic"	"KGZ"	""	"3.2"	"4.41"	"0.16"	"0"	"126"	"70.4024390243902"	"105.916"	"237.716"	"20.9"	"3372"	"110"	"2466"	""	"49.3879560253619"	"91.9495573982296"	"64.5547811455946"	"2.213"	"31.1306705139094"	"64.5597115389222"	"251488"	"0.2"	"2.4"	"17.7"	"98.4"
2014	"YR2014"	"Lao PDR"	"LAO"	""	"2.847"	""	"0.15"	"29.9003706901517"	"189"	"66.144"	"177.577"	"221.481"	"43.8"	"7249"	"370"	"4204"	""	"9.82377008398353"	"25.4082739776782"	"14.8867079506304"	"0.4949"	"34.0442178899345"	"62.1648295509654"	"251710"	""	""	""	""
2014	"YR2014"	"Latvia"	"LVA"	""	"1.65"	"5.66"	"0.18"	""	"42"	"74.1243902439024"	"89.021"	"241.36"	"4.6"	"98"	"5"	"60"	""	""	""	"94.5760094437589"	"3.1724"	"14.8047787003783"	"65.9201204817489"	"384303"	"0.4"	"0.7"	"1.9"	""
2014	"YR2014"	"Lebanon"	"LBN"	""	"2.091"	"2.85"	"0.03"	""	"12"	"78.732"	"51.328"	"71.755"	"7.4"	"776"	"30"	"536"	""	""	""	"47.2882172571428"	"2.0735"	"27.0898591353135"	"66.6522388279015"	"391895"	""	""	""	""
2014	"YR2014"	"Lesotho"	"LSO"	""	"3.235"	""	"8.94"	""	"853"	"49.891"	"470.088"	"566.47"	"71.6"	"4065"	"330"	"2463"	""	""	""	""	""	"33.8001267467439"	"61.4066441719743"	"97947"	""	""	""	"95.2"
2014	"YR2014"	"Liberia"	"LBR"	""	"4.621"	""	"0.7"	"337.57318486398"	"308"	"61.723"	"227.337"	"266.013"	"67.4"	"10044"	"1000"	"4995"	""	""	""	""	""	"42.3920967192154"	"54.4102703379695"	"139401"	"13.1"	"33"	"55.8"	""
2014	"YR2014"	"Libya"	"LBY"	""	"2.392"	"3.7"	"0.11"	""	"40"	"71.981"	"98.411"	"173.525"	"11.8"	"1592"	"85"	"1045"	""	""	""	""	"2.0583"	"28.831599061747"	"66.9486518233075"	"268462"	""	""	""	""
2014	"YR2014"	"Liechtenstein"	"LIE"	""	"1.59"	""	""	""	""	"82.0731707317073"	""	""	""	""	""	""	""	""	""	"100"	""	""	""	""	""	""	""	""
2014	"YR2014"	"Lithuania"	"LTU"	""	"1.63"	"7.26"	"0.09"	""	"57"	"74.5170731707317"	"84.589"	"250.161"	"4"	"126"	"3"	"74"	""	""	""	"89.2879550291256"	"4.2507"	"14.545900601616"	"67.0528356582558"	"539593"	"0.7"	"1.2"	"2.2"	""
2014	"YR2014"	"Luxembourg"	"LUX"	""	"1.5"	"5.05"	""	""	"5"	"82.2292682926829"	"38.403"	"79.192"	"2.4"	"14"	"0"	"9"	""	"98.5573095238095"	"100"	"99.8540561003703"	"2.8891"	"16.6370312128054"	"69.4019649568272"	"77668"	"0.1"	"0.1"	"0.2"	""
2014	"YR2014"	"Macao SAR, China"	"MAC"	""	"1.196"	""	""	""	"77"	"83.543"	"26.087"	"62.199"	""	""	""	""	""	""	"100"	"95.7587058823528"	""	"12.4991528410323"	"79.4023462914769"	"47798"	""	""	""	""
2014	"YR2014"	"Madagascar"	"MDG"	""	"4.302"	""	"0.17"	"45.7757403518973"	"233"	"65.133"	"198.15"	"248.09"	"41.7"	"32711"	"3000"	"17700"	""	""	""	""	"0.1812"	"42.0245996928854"	"55.1611436222164"	"663880"	""	""	""	""
2014	"YR2014"	"Malawi"	"MWI"	""	"4.666"	""	"2.98"	"237.003846023985"	"228"	"61.042"	"248.342"	"361.829"	"39.7"	"23450"	"2300"	"14261"	""	""	""	""	""	"45.4160556410637"	"51.9308204424529"	"432182"	""	""	""	"96.1"
2014	"YR2014"	"Malaysia"	"MYS"	""	"2.074"	""	"0.18"	"2.63421346922649"	"93"	"75.268"	"86.445"	"159.946"	"6.8"	"3465"	"150"	"2107"	""	""	""	"93.286942743934"	""	"25.5970623776665"	"68.654329385903"	"1716911"	""	""	""	"97.15"
2014	"YR2014"	"Maldives"	"MDV"	""	"2.038"	""	""	""	"36"	"77.36"	"58.125"	"82.583"	"9.3"	"70"	"4"	"45"	""	""	""	""	"1.7701"	"21.7679850120111"	"74.2052572899785"	"17517"	""	""	""	""
2014	"YR2014"	"Mali"	"MLI"	""	"6.231"	""	""	"441.007385462791"	"58"	"57.036"	"262.705"	"282.149"	"68.7"	"50203"	"4800"	"26405"	""	""	""	""	""	"47.9723121486477"	"49.4580616496284"	"435146"	""	""	""	""
2014	"YR2014"	"Malta"	"MLT"	""	"1.38"	"4.59"	""	""	"12"	"82.0463414634146"	"37.259"	"67.972"	"6.1"	"25"	"0"	"19"	""	""	""	"100.000001792747"	"2.6592"	"14.2943814113069"	"67.5165098780326"	"79042"	"0"	"0"	"0"	""
2014	"YR2014"	"Marshall Islands"	"MHL"	""	""	""	""	""	"310"	""	""	""	"30"	"45"	""	"25"	""	""	""	""	""	""	""	""	""	""	""	""
